accession	organism	gene_name	length	matches	kmer_size	score_percent	reference_start	target_start	description
XM_002055164.4	Drosophila virilis	stnB	6137	28	50	56.0	50	5185	PREDICTED: Drosophila virilis stoned B (stnB), transcript variant X1, mRNA
XM_070206631.1	Drosophila virilis	vap	3795	28	50	56.0	200	3705	PREDICTED: Drosophila virilis RAS p21 protein activator vap (vap), transcript variant X2, mRNA
XM_032439538.2	Drosophila virilis	1	5748	28	50	56.0	100	1860	PREDICTED: Drosophila virilis inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (l(1)G0196), transcript variant X10, mRNA
XM_070206630.1	Drosophila virilis	1	5761	28	50	56.0	925	2720	PREDICTED: Drosophila virilis inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (l(1)G0196), transcript variant X9, mRNA
XM_070206628.1	Drosophila virilis	1	6520	28	50	56.0	200	5120	PREDICTED: Drosophila virilis inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (l(1)G0196), transcript variant X6, mRNA
XM_070206625.1	Drosophila virilis	1	7383	28	50	56.0	100	1850	PREDICTED: Drosophila virilis inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (l(1)G0196), transcript variant X2, mRNA
XM_015169978.3	Drosophila virilis	egh	3798	28	50	56.0	225	2615	PREDICTED: Drosophila virilis beta-1,4-mannosyltransferase egh (egh), transcript variant X3, mRNA
XM_015169977.3	Drosophila virilis	egh	3638	28	50	56.0	225	2455	PREDICTED: Drosophila virilis beta-1,4-mannosyltransferase egh (egh), transcript variant X2, mRNA
XM_015169975.3	Drosophila virilis	egh	4658	28	50	56.0	225	3475	PREDICTED: Drosophila virilis beta-1,4-mannosyltransferase egh (egh), transcript variant X1, mRNA
XM_070206624.1	Drosophila virilis	Mnr	3471	28	50	56.0	225	3115	PREDICTED: Drosophila virilis Membrane-bound Notch regulator (Mnr), transcript variant X3, mRNA
XM_032433326.2	Drosophila virilis	Nmdar2	4143	28	50	56.0	1150	2460	PREDICTED: Drosophila virilis NMDA receptor 2 (Nmdar2), transcript variant X2, mRNA
XM_032433324.2	Drosophila virilis	Nmdar2	4181	28	50	56.0	1150	2460	PREDICTED: Drosophila virilis NMDA receptor 2 (Nmdar2), transcript variant X1, mRNA
XM_032439581.2	Drosophila virilis	sdt	5037	28	50	56.0	200	4815	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X9, mRNA
XM_070206612.1	Drosophila virilis	raskol	5993	28	50	56.0	1200	300	PREDICTED: Drosophila virilis Ras GTPase-activating protein raskol (raskol), transcript variant X5, mRNA
XM_032433488.2	Drosophila virilis	Nna1	7369	28	50	56.0	75	1745	PREDICTED: Drosophila virilis Nna1 carboxypeptidase (Nna1), transcript variant X5, mRNA
XM_002054914.4	Drosophila virilis	SMC3	4104	28	50	56.0	725	3110	PREDICTED: Drosophila virilis structural maintenance of chromosomes 3 (SMC3), mRNA
XM_015171194.3	Drosophila virilis	bves	3219	28	50	56.0	700	755	PREDICTED: Drosophila virilis popeye domain cAMP effector bves (bves), transcript variant X4, mRNA
XM_015171195.3	Drosophila virilis	bves	3252	28	50	56.0	700	755	PREDICTED: Drosophila virilis popeye domain cAMP effector bves (bves), transcript variant X3, mRNA
XM_070211391.1	Drosophila virilis	mthl1	6117	28	50	56.0	375	290	PREDICTED: Drosophila virilis methuselah-like 1 (mthl1), transcript variant X3, mRNA
XM_002059523.4	Drosophila virilis	mthl1	6182	28	50	56.0	375	290	PREDICTED: Drosophila virilis methuselah-like 1 (mthl1), transcript variant X2, mRNA
XM_032440320.2	Drosophila virilis	mthl1	4325	28	50	56.0	375	290	PREDICTED: Drosophila virilis methuselah-like 1 (mthl1), transcript variant X1, mRNA
XM_070211389.1	Drosophila virilis	spri	5755	28	50	56.0	675	3460	PREDICTED: Drosophila virilis Src homology 2 domain-containing protein sprint (spri), transcript variant X7, mRNA
XM_015169962.2	Drosophila virilis	Upf2	4511	28	50	56.0	1200	1715	PREDICTED: Drosophila virilis UPF2 regulator of nonsense mediated mRNA decay (Upf2), transcript variant X2, mRNA
XM_002057163.4	Drosophila virilis	Grip128	3592	28	50	56.0	900	1585	PREDICTED: Drosophila virilis gamma-tubulin complex component 5 (Grip128), mRNA
XM_070211386.1	Drosophila virilis	Mnt	5529	28	50	56.0	50	385	PREDICTED: Drosophila virilis Mnt (Mnt), transcript variant X3, mRNA
XM_070211380.1	Drosophila virilis	LOC6631824	7664	28	50	56.0	50	6605	PREDICTED: Drosophila virilis chaoptin (LOC6631824), transcript variant X8, mRNA
XM_032440214.2	Drosophila virilis	LOC6631824	7797	28	50	56.0	1225	2720	PREDICTED: Drosophila virilis chaoptin (LOC6631824), transcript variant X7, mRNA
XM_070211371.1	Drosophila virilis	Proc-R	3545	28	50	56.0	1125	910	PREDICTED: Drosophila virilis Proctolin receptor (Proc-R), transcript variant X1, mRNA
XM_001992352.3	Drosophila grimshawi	LOC6565756	6034	28	50	56.0	150	1490	PREDICTED: Drosophila grimshawi uncharacterized LOC6565756 (LOC6565756), mRNA
XM_001995769.3	Drosophila grimshawi	LOC6569315	3520	28	50	56.0	350	2545	PREDICTED: Drosophila grimshawi TATA element modulatory factor (LOC6569315), mRNA
XM_043216318.1	Drosophila grimshawi	LOC6564883	3602	28	50	56.0	75	3265	PREDICTED: Drosophila grimshawi uncharacterized LOC6564883 (LOC6564883), mRNA
XM_032738516.2	Drosophila grimshawi	LOC6564741	4271	28	50	56.0	200	4050	PREDICTED: Drosophila grimshawi protein Tob1 (LOC6564741), transcript variant X3, mRNA
XM_032738515.2	Drosophila grimshawi	LOC6564741	4186	28	50	56.0	200	3965	PREDICTED: Drosophila grimshawi protein Tob1 (LOC6564741), transcript variant X2, mRNA
XM_032739055.2	Drosophila grimshawi	LOC6566078	4072	28	50	56.0	1200	295	PREDICTED: Drosophila grimshawi small conductance calcium-activated potassium channel protein (LOC6566078), transcript variant X2, mRNA
XM_032741315.2	Drosophila grimshawi	LOC6569360	4323	28	50	56.0	725	1380	PREDICTED: Drosophila grimshawi disheveled-associated activator of morphogenesis 1 (LOC6569360), transcript variant X1, mRNA
XM_001991695.3	Drosophila grimshawi	LOC6565489	4579	28	50	56.0	450	4015	PREDICTED: Drosophila grimshawi ubiquitin carboxyl-terminal hydrolase 7 (LOC6565489), mRNA
XM_001992249.3	Drosophila grimshawi	LOC6565597	4153	28	50	56.0	1050	1555	PREDICTED: Drosophila grimshawi 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase (LOC6565597), transcript variant X1, mRNA
XM_032738434.2	Drosophila grimshawi	LOC6564887	3986	28	50	56.0	150	920	PREDICTED: Drosophila grimshawi AF4/FMR2 family member lilli (LOC6564887), mRNA
XM_032738439.2	Drosophila grimshawi	LOC6565297	4931	28	50	56.0	375	365	PREDICTED: Drosophila grimshawi eye-specific diacylglycerol kinase (LOC6565297), transcript variant X4, mRNA
XM_032738436.2	Drosophila grimshawi	LOC6565297	5536	28	50	56.0	200	5240	PREDICTED: Drosophila grimshawi eye-specific diacylglycerol kinase (LOC6565297), transcript variant X1, mRNA
XM_001991657.3	Drosophila grimshawi	LOC6565445	3051	28	50	56.0	275	425	PREDICTED: Drosophila grimshawi kelch-like protein 5 (LOC6565445), mRNA
XM_043216289.1	Drosophila grimshawi	LOC6564982	5087	28	50	56.0	1150	4025	PREDICTED: Drosophila grimshawi phospholipid-transporting ATPase ABCA3 (LOC6564982), transcript variant X2, mRNA
XM_032741359.2	Drosophila grimshawi	LOC6569394	3481	28	50	56.0	75	140	PREDICTED: Drosophila grimshawi N-alpha-acetyltransferase 16, NatA auxiliary subunit (LOC6569394), transcript variant X2, mRNA
XM_043216288.1	Drosophila grimshawi	LOC6565325	4025	28	50	56.0	1200	2205	PREDICTED: Drosophila grimshawi uncharacterized LOC6565325 (LOC6565325), mRNA
XM_032741439.2	Drosophila grimshawi	LOC6569259	4070	28	50	56.0	1200	220	PREDICTED: Drosophila grimshawi integrator complex subunit 2 (LOC6569259), mRNA
XM_043216279.1	Drosophila grimshawi	LOC6565668	3331	28	50	56.0	1200	705	PREDICTED: Drosophila grimshawi uncharacterized LOC6565668 (LOC6565668), mRNA
XM_001991406.3	Drosophila grimshawi	LOC6564525	3069	28	50	56.0	675	795	PREDICTED: Drosophila grimshawi nuclear RNA export factor 1 (LOC6564525), mRNA
XM_032737869.2	Drosophila grimshawi	LOC6564762	4648	28	50	56.0	1025	3190	PREDICTED: Drosophila grimshawi hormone receptor 4 (LOC6564762), mRNA
XM_043216262.1	Drosophila grimshawi	LOC6565078	5070	28	50	56.0	350	390	PREDICTED: Drosophila grimshawi syntaxin-binding protein 5 (LOC6565078), mRNA
XM_032741451.2	Drosophila grimshawi	LOC6569470	3662	28	50	56.0	825	3200	PREDICTED: Drosophila grimshawi small G protein signaling modulator 1 (LOC6569470), mRNA
XM_001991826.3	Drosophila grimshawi	LOC6564774	4685	28	50	56.0	0	140	PREDICTED: Drosophila grimshawi uncharacterized LOC6564774 (LOC6564774), transcript variant X1, mRNA
XM_032741438.2	Drosophila grimshawi	LOC6569523	4828	28	50	56.0	200	3740	PREDICTED: Drosophila grimshawi probable G-protein coupled receptor B0563.6 (LOC6569523), transcript variant X1, mRNA
XM_032738443.2	Drosophila grimshawi	LOC6564512	3788	28	50	56.0	200	3470	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X9, mRNA
XM_043216243.1	Drosophila grimshawi	LOC6564512	3863	28	50	56.0	200	3545	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X6, mRNA
XM_043216233.1	Drosophila grimshawi	LOC6564600	4026	28	50	56.0	75	1585	PREDICTED: Drosophila grimshawi probable serine/threonine-protein kinase tsuA (LOC6564600), mRNA
XM_043216232.1	Drosophila grimshawi	LOC116805558	3043	28	50	56.0	725	300	PREDICTED: Drosophila grimshawi nuclear receptor corepressor 1 (LOC116805558), partial mRNA
XM_043216219.1	Drosophila grimshawi	LOC6564793	5636	28	50	56.0	775	605	PREDICTED: Drosophila grimshawi mucin-5AC (LOC6564793), mRNA
XM_043216216.1	Drosophila grimshawi	LOC6565176	6320	28	50	56.0	450	3765	PREDICTED: Drosophila grimshawi partitioning defective 3 homolog B (LOC6565176), transcript variant X2, mRNA
XM_001991364.3	Drosophila grimshawi	LOC6564577	4146	28	50	56.0	1200	835	PREDICTED: Drosophila grimshawi uncharacterized protein CG3556 (LOC6564577), mRNA
XM_001991388.3	Drosophila grimshawi	LOC6564715	3506	28	50	56.0	750	1530	PREDICTED: Drosophila grimshawi DExH-box ATP-dependent RNA helicase DExH1 (LOC6564715), mRNA
XM_001991896.3	Drosophila grimshawi	LOC6564772	6808	28	50	56.0	925	6230	PREDICTED: Drosophila grimshawi sodium leak channel non-selective protein (LOC6564772), transcript variant X2, mRNA
XM_043216208.1	Drosophila grimshawi	LOC6565774	3269	28	50	56.0	850	2725	PREDICTED: Drosophila grimshawi dopamine D2-like receptor (LOC6565774), transcript variant X1, mRNA
XM_017300163.2	Drosophila miranda	LOC108164448	4342	28	50	56.0	525	3660	PREDICTED: Drosophila miranda calsyntenin-1 (LOC108164448), transcript variant X1, mRNA
XM_017300116.2	Drosophila miranda	LOC108164429	6595	28	50	56.0	200	5415	PREDICTED: Drosophila miranda uncharacterized LOC108164429 (LOC108164429), transcript variant X5, mRNA
XM_017300115.2	Drosophila miranda	LOC108164429	6615	28	50	56.0	200	5435	PREDICTED: Drosophila miranda uncharacterized LOC108164429 (LOC108164429), transcript variant X4, mRNA
XM_017300114.2	Drosophila miranda	LOC108164429	6615	28	50	56.0	200	5435	PREDICTED: Drosophila miranda uncharacterized LOC108164429 (LOC108164429), transcript variant X3, mRNA
XM_017300168.2	Drosophila miranda	LOC108164451	5018	28	50	56.0	75	3700	PREDICTED: Drosophila miranda uncharacterized LOC108164451 (LOC108164451), transcript variant X1, mRNA
XM_017300093.2	Drosophila miranda	LOC108164416	6103	28	50	56.0	475	1115	PREDICTED: Drosophila miranda probable cation-transporting ATPase 13A3 (LOC108164416), transcript variant X1, mRNA
XM_017300090.2	Drosophila miranda	LOC108164414	7725	28	50	56.0	50	1420	PREDICTED: Drosophila miranda mucin-5AC (LOC108164414), transcript variant X2, mRNA
XM_017300178.2	Drosophila miranda	LOC108164456	3200	28	50	56.0	250	2085	PREDICTED: Drosophila miranda calcium/calmodulin-dependent protein kinase type II alpha chain (LOC108164456), transcript variant X5, mRNA
XM_033394387.1	Drosophila miranda	LOC108164456	3210	28	50	56.0	250	2095	PREDICTED: Drosophila miranda calcium/calmodulin-dependent protein kinase type II alpha chain (LOC108164456), transcript variant X3, mRNA
XM_017300175.2	Drosophila miranda	LOC108164456	3270	28	50	56.0	250	2155	PREDICTED: Drosophila miranda calcium/calmodulin-dependent protein kinase type II alpha chain (LOC108164456), transcript variant X1, mRNA
XM_017300067.2	Drosophila miranda	LOC108164406	6988	28	50	56.0	200	6325	PREDICTED: Drosophila miranda protein pangolin, isoforms A/H/I/S (LOC108164406), transcript variant X8, mRNA
XM_033394381.1	Drosophila miranda	LOC108164406	7799	28	50	56.0	200	2030	PREDICTED: Drosophila miranda protein pangolin, isoforms A/H/I/S (LOC108164406), transcript variant X7, mRNA
XM_017300078.2	Drosophila miranda	LOC108164411	4738	28	50	56.0	900	1825	PREDICTED: Drosophila miranda ephrin type-B receptor 1-B (LOC108164411), transcript variant X2, mRNA
XM_033394370.1	Drosophila miranda	LOC108164409	6254	28	50	56.0	1225	2825	PREDICTED: Drosophila miranda protein Gawky (LOC108164409), transcript variant X3, mRNA
XM_033394369.1	Drosophila miranda	LOC108164409	6263	28	50	56.0	225	5720	PREDICTED: Drosophila miranda protein Gawky (LOC108164409), transcript variant X2, mRNA
XM_017300270.2	Drosophila miranda	LOC108164499	3338	28	50	56.0	775	1855	PREDICTED: Drosophila miranda paired box protein Pax-6 (LOC108164499), transcript variant X1, mRNA
XM_017300161.2	Drosophila miranda	LOC108164447	5249	28	50	56.0	200	4990	PREDICTED: Drosophila miranda homeobox protein onecut (LOC108164447), mRNA
XM_033394346.1	Drosophila miranda	LOC108164403	3445	28	50	56.0	600	3005	PREDICTED: Drosophila miranda RING finger protein 11 (LOC108164403), transcript variant X4, mRNA
XM_033394343.1	Drosophila miranda	LOC108164401	4562	28	50	56.0	200	4485	PREDICTED: Drosophila miranda plasma membrane calcium-transporting ATPase 2 (LOC108164401), transcript variant X2, mRNA
XM_017300041.2	Drosophila miranda	LOC108164400	5039	28	50	56.0	200	3670	PREDICTED: Drosophila miranda mediator of RNA polymerase II transcription subunit 26 (LOC108164400), transcript variant X2, mRNA
XM_017299990.2	Drosophila miranda	LOC108164387	5713	28	50	56.0	200	1700	PREDICTED: Drosophila miranda putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog (LOC108164387), transcript variant X8, mRNA
XM_033394327.1	Drosophila miranda	LOC108164387	3393	28	50	56.0	50	2080	PREDICTED: Drosophila miranda putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog (LOC108164387), transcript variant X7, mRNA
XM_033394324.1	Drosophila miranda	LOC108164387	3824	28	50	56.0	575	1435	PREDICTED: Drosophila miranda putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog (LOC108164387), transcript variant X4, mRNA
XM_033394323.1	Drosophila miranda	LOC108164387	5048	28	50	56.0	200	1685	PREDICTED: Drosophila miranda putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog (LOC108164387), transcript variant X3, mRNA
XM_033394322.1	Drosophila miranda	LOC108164387	5025	28	50	56.0	200	1670	PREDICTED: Drosophila miranda putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog (LOC108164387), transcript variant X2, mRNA
XM_033394321.1	Drosophila miranda	LOC108164387	5041	28	50	56.0	425	4680	PREDICTED: Drosophila miranda putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog (LOC108164387), transcript variant X1, mRNA
XM_033394317.1	Drosophila miranda	LOC108164386	4164	28	50	56.0	1050	1450	PREDICTED: Drosophila miranda calcium-dependent secretion activator (LOC108164386), transcript variant X7, mRNA
XM_033394314.1	Drosophila miranda	LOC108164386	5081	28	50	56.0	1050	2580	PREDICTED: Drosophila miranda calcium-dependent secretion activator (LOC108164386), transcript variant X4, mRNA
XM_033394313.1	Drosophila miranda	LOC108164386	5126	28	50	56.0	1050	2580	PREDICTED: Drosophila miranda calcium-dependent secretion activator (LOC108164386), transcript variant X3, mRNA
XM_017300249.2	Drosophila miranda	LOC108164487	3286	28	50	56.0	375	965	PREDICTED: Drosophila miranda early endosome antigen 1 (LOC108164487), transcript variant X8, mRNA
XM_017300248.2	Drosophila miranda	LOC108164487	3290	28	50	56.0	375	960	PREDICTED: Drosophila miranda early endosome antigen 1 (LOC108164487), transcript variant X7, mRNA
XM_017300247.2	Drosophila miranda	LOC108164487	3475	28	50	56.0	375	965	PREDICTED: Drosophila miranda early endosome antigen 1 (LOC108164487), transcript variant X5, mRNA
XM_017300244.2	Drosophila miranda	LOC108164487	3697	28	50	56.0	375	860	PREDICTED: Drosophila miranda early endosome antigen 1 (LOC108164487), transcript variant X2, mRNA
XM_017300243.2	Drosophila miranda	LOC108164487	3802	28	50	56.0	375	965	PREDICTED: Drosophila miranda early endosome antigen 1 (LOC108164487), transcript variant X1, mRNA
XM_033394303.1	Drosophila miranda	LOC108164474	3278	28	50	56.0	625	1685	PREDICTED: Drosophila miranda uncharacterized LOC108164474 (LOC108164474), transcript variant X2, mRNA
XM_017300201.2	Drosophila miranda	LOC108164465	4011	28	50	56.0	425	60	PREDICTED: Drosophila miranda transcriptional activator protein Pur-beta (LOC108164465), transcript variant X2, mRNA
XM_017300224.2	Drosophila miranda	LOC108164473	4196	28	50	56.0	400	3430	PREDICTED: Drosophila miranda RNA-binding protein MEX3B (LOC108164473), transcript variant X3, mRNA
XM_033394295.1	Drosophila miranda	LOC108164473	4292	28	50	56.0	325	1635	PREDICTED: Drosophila miranda RNA-binding protein MEX3B (LOC108164473), transcript variant X1, mRNA
XM_017300196.2	Drosophila miranda	LOC108164463	4550	28	50	56.0	50	3230	PREDICTED: Drosophila miranda metabotropic glutamate receptor (LOC108164463), transcript variant X1, mRNA
XM_033394293.1	Drosophila miranda	LOC108164462	3845	28	50	56.0	50	1095	PREDICTED: Drosophila miranda protein cup (LOC108164462), transcript variant X3, mRNA
XM_033394284.1	Drosophila miranda	LOC108164478	4048	28	50	56.0	75	2895	PREDICTED: Drosophila miranda rho GTPase-activating protein 6 (LOC108164478), transcript variant X4, mRNA
XM_017300231.2	Drosophila miranda	LOC108164478	5011	28	50	56.0	75	2320	PREDICTED: Drosophila miranda rho GTPase-activating protein 6 (LOC108164478), transcript variant X3, mRNA
XM_033394283.1	Drosophila miranda	LOC108164478	5456	28	50	56.0	75	2765	PREDICTED: Drosophila miranda rho GTPase-activating protein 6 (LOC108164478), transcript variant X2, mRNA
XM_017300174.2	Drosophila miranda	LOC108164455	4051	28	50	56.0	525	120	PREDICTED: Drosophila miranda uncharacterized LOC108164455 (LOC108164455), mRNA
XM_017300172.2	Drosophila miranda	LOC108164453	5346	28	50	56.0	175	4985	PREDICTED: Drosophila miranda transcriptional activator cubitus interruptus (LOC108164453), transcript variant X1, mRNA
XM_033394266.1	Drosophila miranda	LOC108164397	6707	28	50	56.0	725	4240	PREDICTED: Drosophila miranda eukaryotic translation initiation factor 4 gamma 3 (LOC108164397), transcript variant X1, mRNA
XM_033394265.1	Drosophila miranda	LOC108164443	4799	28	50	56.0	1200	4650	PREDICTED: Drosophila miranda GIGYF family protein CG11148 (LOC108164443), transcript variant X3, mRNA
XM_015164605.3	Drosophila mojavensis	LOC6581108	4624	28	50	56.0	1175	1170	PREDICTED: Drosophila mojavensis sodium-dependent transporter bedraggled (LOC6581108), transcript variant X2, mRNA
XM_002006830.4	Drosophila mojavensis	LOC6581108	4627	28	50	56.0	1175	1170	PREDICTED: Drosophila mojavensis sodium-dependent transporter bedraggled (LOC6581108), transcript variant X1, mRNA
XM_044011394.1	Drosophila mojavensis	LOC6581104	7605	28	50	56.0	1100	7135	PREDICTED: Drosophila mojavensis uncharacterized LOC6581104 (LOC6581104), transcript variant X4, mRNA
XM_044011393.1	Drosophila mojavensis	LOC6581104	7990	28	50	56.0	1100	7520	PREDICTED: Drosophila mojavensis uncharacterized LOC6581104 (LOC6581104), transcript variant X3, mRNA
XM_032730051.2	Drosophila mojavensis	LOC6581144	4233	28	50	56.0	375	260	PREDICTED: Drosophila mojavensis protein CBFA2T1 (LOC6581144), mRNA
XM_002006865.4	Drosophila mojavensis	LOC6581153	4249	28	50	56.0	1175	1150	PREDICTED: Drosophila mojavensis muscarinic acetylcholine receptor DM1 (LOC6581153), transcript variant X3, mRNA
XM_044011384.1	Drosophila mojavensis	LOC6581153	3635	28	50	56.0	1175	485	PREDICTED: Drosophila mojavensis muscarinic acetylcholine receptor DM1 (LOC6581153), transcript variant X2, mRNA
XM_015164629.3	Drosophila mojavensis	LOC6581153	4301	28	50	56.0	1200	1825	PREDICTED: Drosophila mojavensis muscarinic acetylcholine receptor DM1 (LOC6581153), transcript variant X1, mRNA
XM_015164631.3	Drosophila mojavensis	LOC6581155	5312	28	50	56.0	200	1940	PREDICTED: Drosophila mojavensis serine/threonine-protein kinase 10 (LOC6581155), transcript variant X9, mRNA
XM_044011382.1	Drosophila mojavensis	LOC6581155	4571	28	50	56.0	1175	430	PREDICTED: Drosophila mojavensis serine/threonine-protein kinase 10 (LOC6581155), transcript variant X8, mRNA
XM_044011381.1	Drosophila mojavensis	LOC6581155	4574	28	50	56.0	900	2835	PREDICTED: Drosophila mojavensis serine/threonine-protein kinase 10 (LOC6581155), transcript variant X7, mRNA
XM_015164630.3	Drosophila mojavensis	LOC6581155	5382	28	50	56.0	1025	4730	PREDICTED: Drosophila mojavensis serine/threonine-protein kinase 10 (LOC6581155), transcript variant X5, mRNA
XM_044011379.1	Drosophila mojavensis	LOC6581155	5818	28	50	56.0	1175	1680	PREDICTED: Drosophila mojavensis serine/threonine-protein kinase 10 (LOC6581155), transcript variant X4, mRNA
XM_044011378.1	Drosophila mojavensis	LOC6581155	5857	28	50	56.0	200	1980	PREDICTED: Drosophila mojavensis serine/threonine-protein kinase 10 (LOC6581155), transcript variant X3, mRNA
XM_044011377.1	Drosophila mojavensis	LOC6581155	5767	28	50	56.0	200	1890	PREDICTED: Drosophila mojavensis serine/threonine-protein kinase 10 (LOC6581155), transcript variant X2, mRNA
XM_044011376.1	Drosophila mojavensis	LOC6581155	5860	28	50	56.0	1200	4595	PREDICTED: Drosophila mojavensis serine/threonine-protein kinase 10 (LOC6581155), transcript variant X1, mRNA
XM_032730738.2	Drosophila mojavensis	LOC6581135	7065	28	50	56.0	750	1765	PREDICTED: Drosophila mojavensis uncharacterized LOC6581135 (LOC6581135), transcript variant X3, mRNA
XM_032730736.2	Drosophila mojavensis	LOC6581135	7250	28	50	56.0	275	225	PREDICTED: Drosophila mojavensis uncharacterized LOC6581135 (LOC6581135), transcript variant X1, mRNA
XM_002006811.4	Drosophila mojavensis	LOC6581089	3541	28	50	56.0	200	95	PREDICTED: Drosophila mojavensis neuropeptide CCHamide-2 receptor (LOC6581089), transcript variant X1, mRNA
XM_044011367.1	Drosophila mojavensis	LOC6581082	4264	28	50	56.0	125	3145	PREDICTED: Drosophila mojavensis ecdysone receptor (LOC6581082), transcript variant X6, mRNA
XM_032730015.2	Drosophila mojavensis	LOC6581082	5285	28	50	56.0	200	215	PREDICTED: Drosophila mojavensis ecdysone receptor (LOC6581082), transcript variant X3, mRNA
XM_032730005.2	Drosophila mojavensis	LOC6581083	3286	28	50	56.0	200	3130	PREDICTED: Drosophila mojavensis serrate RNA effector molecule homolog (LOC6581083), transcript variant X2, mRNA
XM_015164597.3	Drosophila mojavensis	LOC6581083	3374	28	50	56.0	225	3235	PREDICTED: Drosophila mojavensis serrate RNA effector molecule homolog (LOC6581083), transcript variant X1, mRNA
XM_002006818.4	Drosophila mojavensis	LOC6581096	5545	28	50	56.0	1200	450	PREDICTED: Drosophila mojavensis endoribonuclease Dicer (LOC6581096), transcript variant X2, mRNA
XM_015164603.3	Drosophila mojavensis	LOC6581096	5585	28	50	56.0	1200	490	PREDICTED: Drosophila mojavensis endoribonuclease Dicer (LOC6581096), transcript variant X1, mRNA
XM_002006855.4	Drosophila mojavensis	LOC6581140	3981	28	50	56.0	300	3615	PREDICTED: Drosophila mojavensis uncharacterized LOC6581140 (LOC6581140), mRNA
XM_015164659.3	Drosophila mojavensis	LOC6581183	4118	28	50	56.0	100	3175	PREDICTED: Drosophila mojavensis EH domain-binding protein 1 (LOC6581183), transcript variant X7, mRNA
XM_015164669.3	Drosophila mojavensis	LOC6581185	3641	28	50	56.0	400	2435	PREDICTED: Drosophila mojavensis uncharacterized LOC6581185 (LOC6581185), transcript variant X5, mRNA
XM_032730554.2	Drosophila mojavensis	LOC6581185	3685	28	50	56.0	350	1320	PREDICTED: Drosophila mojavensis uncharacterized LOC6581185 (LOC6581185), transcript variant X4, mRNA
XM_002006883.4	Drosophila mojavensis	LOC6581174	3529	28	50	56.0	350	3105	PREDICTED: Drosophila mojavensis protein lin-54 homolog (LOC6581174), transcript variant X2, mRNA
XM_015164649.3	Drosophila mojavensis	LOC6581174	3535	28	50	56.0	575	1085	PREDICTED: Drosophila mojavensis protein lin-54 homolog (LOC6581174), transcript variant X1, mRNA
XM_002006889.4	Drosophila mojavensis	LOC6581180	5997	28	50	56.0	850	3725	PREDICTED: Drosophila mojavensis low-density lipoprotein receptor-related protein 6 (LOC6581180), mRNA
XM_015164256.3	Drosophila mojavensis	LOC6580543	5027	28	50	56.0	1200	4285	PREDICTED: Drosophila mojavensis putative uncharacterized protein DDB_G0291608 (LOC6580543), transcript variant X3, mRNA
XM_002006338.4	Drosophila mojavensis	LOC6580543	7743	28	50	56.0	200	680	PREDICTED: Drosophila mojavensis putative uncharacterized protein DDB_G0291608 (LOC6580543), transcript variant X1, mRNA
XM_015164471.3	Drosophila mojavensis	LOC6580884	3705	28	50	56.0	200	3595	PREDICTED: Drosophila mojavensis RNA-binding protein fusilli (LOC6580884), transcript variant X4, mRNA
XM_015164418.3	Drosophila mojavensis	LOC6580799	4738	28	50	56.0	225	300	PREDICTED: Drosophila mojavensis putative polypeptide N-acetylgalactosaminyltransferase 9 (LOC6580799), transcript variant X3, mRNA
XM_015164321.3	Drosophila mojavensis	LOC6580604	7479	28	50	56.0	75	5970	PREDICTED: Drosophila mojavensis uncharacterized LOC6580604 (LOC6580604), transcript variant X2, mRNA
XM_002006625.4	Drosophila mojavensis	LOC6580862	3992	28	50	56.0	375	520	PREDICTED: Drosophila mojavensis KAT8 regulatory NSL complex subunit 3 (LOC6580862), transcript variant X1, mRNA
XM_032730734.2	Drosophila mojavensis	LOC6580910	5001	28	50	56.0	200	210	PREDICTED: Drosophila mojavensis uncharacterized LOC6580910 (LOC6580910), transcript variant X6, mRNA
XM_032730733.2	Drosophila mojavensis	LOC6580910	4910	28	50	56.0	200	210	PREDICTED: Drosophila mojavensis uncharacterized LOC6580910 (LOC6580910), transcript variant X5, mRNA
XM_015164532.3	Drosophila mojavensis	LOC6580910	4944	28	50	56.0	200	210	PREDICTED: Drosophila mojavensis uncharacterized LOC6580910 (LOC6580910), transcript variant X4, mRNA
XM_032730732.2	Drosophila mojavensis	LOC6580910	5213	28	50	56.0	200	210	PREDICTED: Drosophila mojavensis uncharacterized LOC6580910 (LOC6580910), transcript variant X1, mRNA
XM_002006253.4	Drosophila mojavensis	LOC6580451	3588	28	50	56.0	625	735	PREDICTED: Drosophila mojavensis DNA-directed RNA polymerase III subunit RPC2 (LOC6580451), mRNA
