accession	organism	gene_name	length	matches	comparison_length	score_percent	description
XM_001967254.4	Drosophila ananassae	LOC6498742	3035	765	3035	25.2059	PREDICTED: Drosophila ananassae band 7 protein AGAP004871 (LOC6498742), mRNA
NM_176739.3	Drosophila melanogaster	CG43672	5174	773	3070	25.1792	Drosophila melanogaster uncharacterized protein (CG43672), mRNA
NM_001014691.3	Drosophila melanogaster	gw	5716	773	3070	25.1792	Drosophila melanogaster gawky (gw), transcript variant J, mRNA
XM_016184830.3	Drosophila simulans	LOC27209395	6688	773	3070	25.1792	PREDICTED: Drosophila simulans double-stranded RNA-specific editase Adar (LOC27209395), transcript variant X4, mRNA
XM_032726784.1	Drosophila sechellia	LOC6620021	7089	773	3070	25.1792	PREDICTED: Drosophila sechellia disintegrin and metalloproteinase domain-containing protein 11 (LOC6620021), transcript variant X1, mRNA
XM_044717545.1	Drosophila ananassae	LOC6501920	3587	773	3070	25.1792	PREDICTED: Drosophila ananassae carbonic anhydrase 2 (LOC6501920), transcript variant X3, mRNA
XM_023179676.2	Drosophila willistoni	LOC6649490	4594	773	3070	25.1792	PREDICTED: Drosophila willistoni probable multidrug resistance-associated protein lethal(2)03659 (LOC6649490), mRNA
XM_023179831.2	Drosophila willistoni	LOC6649683	4273	773	3070	25.1792	PREDICTED: Drosophila willistoni protein suppressor of variegation 3-7 (LOC6649683), mRNA
XM_002072232.4	Drosophila willistoni	LOC6649826	5664	773	3070	25.1792	PREDICTED: Drosophila willistoni eIF-2-alpha kinase GCN2 (LOC6649826), mRNA
XM_002057163.4	Drosophila virilis	Grip128	3592	773	3070	25.1792	PREDICTED: Drosophila virilis gamma-tubulin complex component 5 (Grip128), mRNA
XM_001991826.3	Drosophila grimshawi	LOC6564774	4685	773	3070	25.1792	PREDICTED: Drosophila grimshawi uncharacterized LOC6564774 (LOC6564774), transcript variant X1, mRNA
XM_001991896.3	Drosophila grimshawi	LOC6564772	6808	773	3070	25.1792	PREDICTED: Drosophila grimshawi sodium leak channel non-selective protein (LOC6564772), transcript variant X2, mRNA
XM_017300281.2	Drosophila miranda	LOC108164502	3264	773	3070	25.1792	PREDICTED: Drosophila miranda paired box protein Pax-2a (LOC108164502), transcript variant X5, mRNA
XM_052001873.1	Drosophila albomicans	LOC127565017	6808	773	3070	25.1792	PREDICTED: Drosophila albomicans polyhomeotic-proximal chromatin protein (LOC127565017), transcript variant X3, mRNA
XM_026983593.1	Drosophila erecta	LOC6555997	3942	773	3070	25.1792	PREDICTED: Drosophila erecta alpha-2-macroglobulin-like protein 1 (LOC6555997), partial mRNA
XM_026983579.1	Drosophila erecta	LOC26526330	6900	773	3070	25.1792	PREDICTED: Drosophila erecta eIF-2-alpha kinase activator GCN1 (LOC26526330), transcript variant X2, mRNA
XM_026983480.1	Drosophila erecta	LOC6555855	4299	773	3070	25.1792	PREDICTED: Drosophila erecta ephrin type-B receptor 1-B (LOC6555855), transcript variant X3, mRNA
XM_026983442.1	Drosophila erecta	LOC6555827	3483	773	3070	25.1792	PREDICTED: Drosophila erecta calcium/calmodulin-dependent protein kinase type II alpha chain (LOC6555827), transcript variant X3, mRNA
XM_015153219.2	Drosophila erecta	LOC6555816	3825	773	3070	25.1792	PREDICTED: Drosophila erecta plasma membrane calcium-transporting ATPase 3 (LOC6555816), transcript variant X11, mRNA
XM_039370094.2	Drosophila yakuba	LOC6524645	4413	773	3070	25.1792	PREDICTED: Drosophila yakuba cytosolic carboxypeptidase Nna1 (LOC6524645), transcript variant X15, mRNA
XM_039370088.2	Drosophila yakuba	LOC6524645	5865	773	3070	25.1792	PREDICTED: Drosophila yakuba cytosolic carboxypeptidase Nna1 (LOC6524645), transcript variant X9, mRNA
XM_039370087.2	Drosophila yakuba	LOC6524645	5874	773	3070	25.1792	PREDICTED: Drosophila yakuba cytosolic carboxypeptidase Nna1 (LOC6524645), transcript variant X8, mRNA
XM_039370085.2	Drosophila yakuba	LOC6524645	6330	773	3070	25.1792	PREDICTED: Drosophila yakuba cytosolic carboxypeptidase Nna1 (LOC6524645), transcript variant X5, mRNA
XM_039370084.2	Drosophila yakuba	LOC6524645	6354	773	3070	25.1792	PREDICTED: Drosophila yakuba cytosolic carboxypeptidase Nna1 (LOC6524645), transcript variant X4, mRNA
XM_039370083.2	Drosophila yakuba	LOC6524645	6429	773	3070	25.1792	PREDICTED: Drosophila yakuba cytosolic carboxypeptidase Nna1 (LOC6524645), transcript variant X3, mRNA
XM_039370082.2	Drosophila yakuba	LOC6524645	6444	773	3070	25.1792	PREDICTED: Drosophila yakuba cytosolic carboxypeptidase Nna1 (LOC6524645), transcript variant X2, mRNA
XM_039370081.2	Drosophila yakuba	LOC6524645	6453	773	3070	25.1792	PREDICTED: Drosophila yakuba cytosolic carboxypeptidase Nna1 (LOC6524645), transcript variant X1, mRNA
XM_034284867.1	Drosophila guanche	LOC117591562	4730	773	3070	25.1792	PREDICTED: Drosophila guanche trafficking kinesin-binding protein milt (LOC117591562), transcript variant X1, mRNA
XM_020961277.1	Drosophila serrata	LOC110190672	5940	773	3070	25.1792	PREDICTED: Drosophila serrata transmembrane channel-like protein 1 (LOC110190672), mRNA
XM_030389978.1	Drosophila navojoa	LOC108655513	3361	773	3070	25.1792	PREDICTED: Drosophila navojoa probable cation-transporting ATPase 13A3 (LOC108655513), mRNA
XM_026994554.1	Drosophila persimilis	LOC6594087	3545	773	3070	25.1792	PREDICTED: Drosophila persimilis putative mediator of RNA polymerase II transcription subunit 12 (LOC6594087), transcript variant X2, mRNA
XM_002072082.4	Drosophila willistoni	LOC6649796	3059	770	3059	25.1716	PREDICTED: Drosophila willistoni aminopeptidase N (LOC6649796), transcript variant X1, mRNA
XM_032726670.1	Drosophila sechellia	LOC6615222	3032	763	3032	25.1649	PREDICTED: Drosophila sechellia CTD nuclear envelope phosphatase 1 homolog (LOC6615222), transcript variant X2, mRNA
XM_032738326.2	Drosophila grimshawi	LOC6564950	3014	758	3014	25.1493	PREDICTED: Drosophila grimshawi uncharacterized LOC6564950 (LOC6564950), transcript variant X1, mRNA
NM_001382176.1	Drosophila melanogaster	CLIP-190	6232	772	3070	25.1466	Drosophila melanogaster cytoplasmic linker protein 190, transcript variant W (CLIP-190), mRNA
NM_001382095.1	Drosophila melanogaster	Arms	5436	772	3070	25.1466	Drosophila melanogaster ankyrin repeat-rich membrane spanning, transcript variant V (Arms), mRNA
NM_001382094.1	Drosophila melanogaster	Arms	5303	772	3070	25.1466	Drosophila melanogaster ankyrin repeat-rich membrane spanning, transcript variant U (Arms), mRNA
NM_001382049.1	Drosophila melanogaster	psq	6336	772	3070	25.1466	Drosophila melanogaster pipsqueak (psq), transcript variant O, mRNA
XM_039298111.2	Drosophila simulans	LOC6740309	3212	772	3070	25.1466	PREDICTED: Drosophila simulans PHD finger protein 12 (LOC6740309), mRNA
XM_032726663.1	Drosophila sechellia	LOC6615882	3682	772	3070	25.1466	PREDICTED: Drosophila sechellia myb-binding protein 1A (LOC6615882), mRNA
XM_032452397.2	Drosophila ananassae	LOC6501841	5716	772	3070	25.1466	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X17, mRNA
XM_033385646.1	Drosophila pseudoobscura	fmt	4887	772	3070	25.1466	PREDICTED: Drosophila pseudoobscura phosphatase 6 regulatory subunit 1-like protein fmt (fmt), transcript variant X1, mRNA
XM_001353786.4	Drosophila pseudoobscura	LOC4812909	4178	772	3070	25.1466	PREDICTED: Drosophila pseudoobscura E3 ubiquitin-protein ligase SHPRH (LOC4812909), transcript variant X2, mRNA
XM_033385550.1	Drosophila pseudoobscura	fw	4214	772	3070	25.1466	PREDICTED: Drosophila pseudoobscura CUB and Sushi multiple domains furrowed (fw), mRNA
XM_023179820.2	Drosophila willistoni	LOC6649788	3917	772	3070	25.1466	PREDICTED: Drosophila willistoni uncharacterized LOC6649788 (LOC6649788), transcript variant X6, mRNA
XM_023179679.2	Drosophila willistoni	LOC6649664	4637	772	3070	25.1466	PREDICTED: Drosophila willistoni putative elongator complex protein 1 (LOC6649664), mRNA
XM_047009226.1	Drosophila willistoni	LOC6649622	7733	772	3070	25.1466	PREDICTED: Drosophila willistoni serine/arginine repetitive matrix protein 2 (LOC6649622), transcript variant X1, mRNA
XM_015177058.3	Drosophila willistoni	LOC6649548	4842	772	3070	25.1466	PREDICTED: Drosophila willistoni protein mesh (LOC6649548), transcript variant X2, mRNA
XM_032439581.2	Drosophila virilis	sdt	5037	772	3070	25.1466	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X9, mRNA
XM_032738341.2	Drosophila grimshawi	LOC6565046	3805	772	3070	25.1466	PREDICTED: Drosophila grimshawi cytosolic carboxypeptidase Nna1 (LOC6565046), transcript variant X3, mRNA
XM_032737860.2	Drosophila grimshawi	LOC6565410	5130	772	3070	25.1466	PREDICTED: Drosophila grimshawi tyrosine-protein phosphatase 10D (LOC6565410), transcript variant X1, mRNA
XM_017300068.2	Drosophila miranda	LOC108164406	6070	772	3070	25.1466	PREDICTED: Drosophila miranda protein pangolin, isoforms A/H/I/S (LOC108164406), transcript variant X9, mRNA
XM_033394276.1	Drosophila miranda	LOC117189218	6532	772	3070	25.1466	PREDICTED: Drosophila miranda mucin-17-like (LOC117189218), mRNA
XM_044011263.1	Drosophila mojavensis	LOC6580647	3534	772	3070	25.1466	PREDICTED: Drosophila mojavensis atrial natriuretic peptide receptor 1 (LOC6580647), transcript variant X3, mRNA
XM_044011261.1	Drosophila mojavensis	LOC6580647	5066	772	3070	25.1466	PREDICTED: Drosophila mojavensis atrial natriuretic peptide receptor 1 (LOC6580647), transcript variant X1, mRNA
XM_034257522.2	Drosophila albomicans	LOC117573953	4728	772	3070	25.1466	PREDICTED: Drosophila albomicans serine/threonine-protein phosphatase beta isoform (LOC117573953), transcript variant X1, mRNA
XM_026983427.1	Drosophila erecta	LOC6555865	3301	772	3070	25.1466	PREDICTED: Drosophila erecta uncharacterized LOC6555865 (LOC6555865), transcript variant X1, mRNA
XM_026983418.1	Drosophila erecta	LOC6555812	5476	772	3070	25.1466	PREDICTED: Drosophila erecta protein BCL9 homolog (LOC6555812), mRNA
XM_026983389.1	Drosophila erecta	LOC6555809	5263	772	3070	25.1466	PREDICTED: Drosophila erecta tau-tubulin kinase homolog Asator (LOC6555809), transcript variant X2, mRNA
XM_026983349.1	Drosophila erecta	LOC6555815	5473	772	3070	25.1466	PREDICTED: Drosophila erecta host cell factor (LOC6555815), transcript variant X2, mRNA
XM_039370108.2	Drosophila yakuba	LOC6525905	3838	772	3070	25.1466	PREDICTED: Drosophila yakuba extracellular signal-regulated kinase 7 (LOC6525905), transcript variant X2, mRNA
XM_039371699.2	Drosophila yakuba	LOC6525191	5250	772	3070	25.1466	PREDICTED: Drosophila yakuba 5'-3' exoribonuclease 1 (LOC6525191), transcript variant X1, mRNA
XM_034284421.1	Drosophila guanche	LOC117591243	3563	772	3070	25.1466	PREDICTED: Drosophila guanche zinc finger protein 236 (LOC117591243), transcript variant X1, mRNA
XM_034284369.1	Drosophila guanche	LOC117591217	3070	772	3070	25.1466	PREDICTED: Drosophila guanche low-density lipoprotein receptor (LOC117591217), transcript variant X7, mRNA
XM_020961217.1	Drosophila serrata	LOC110190622	3172	772	3070	25.1466	PREDICTED: Drosophila serrata AFG3-like protein 2 (LOC110190622), mRNA
XM_020961063.1	Drosophila serrata	LOC110190525	4924	772	3070	25.1466	PREDICTED: Drosophila serrata F-BAR and double SH3 domains protein 2 (LOC110190525), transcript variant X2, mRNA
XM_002019833.2	Drosophila persimilis	LOC6594046	3521	772	3070	25.1466	PREDICTED: Drosophila persimilis zinc finger protein squeeze (LOC6594046), transcript variant X2, mRNA
XM_044923802.1	Drosophila simulans	LOC6725502	4753	771	3070	25.114	PREDICTED: Drosophila simulans AP-1 complex subunit gamma-1 (LOC6725502), transcript variant X7, mRNA
XM_032726846.1	Drosophila sechellia	LOC116802353	4353	771	3070	25.114	PREDICTED: Drosophila sechellia transmembrane protein 256 homolog (LOC116802353), mRNA
XM_032726690.1	Drosophila sechellia	LOC6615873	5406	771	3070	25.114	PREDICTED: Drosophila sechellia amyloid-beta-like protein (LOC6615873), transcript variant X10, mRNA
XM_032726680.1	Drosophila sechellia	LOC6615875	4228	771	3070	25.114	PREDICTED: Drosophila sechellia cytospin-A (LOC6615875), transcript variant X2, mRNA
XM_001965629.4	Drosophila ananassae	LOC6505274	3931	771	3070	25.114	PREDICTED: Drosophila ananassae plastin-1 (LOC6505274), transcript variant X1, mRNA
XM_033385563.1	Drosophila pseudoobscura	Wnk	7920	771	3070	25.114	PREDICTED: Drosophila pseudoobscura Wnk kinase (Wnk), transcript variant X1, mRNA
XM_033385539.1	Drosophila pseudoobscura	LOC4815435	7672	771	3070	25.114	PREDICTED: Drosophila pseudoobscura uncharacterized protein (LOC4815435), transcript variant X3, mRNA
XM_033385527.1	Drosophila pseudoobscura	spri	5805	771	3070	25.114	PREDICTED: Drosophila pseudoobscura Src homology 2 domain-containing protein sprint (spri), transcript variant X4, mRNA
XM_033385455.1	Drosophila pseudoobscura	nAChRalpha7	5334	771	3070	25.114	PREDICTED: Drosophila pseudoobscura nicotinic Acetylcholine Receptor alpha7 (nAChRalpha7), transcript variant X4, mRNA
XM_032440765.2	Drosophila virilis	raskol	5832	771	3070	25.114	PREDICTED: Drosophila virilis Ras GTPase-activating protein raskol (raskol), transcript variant X3, mRNA
XM_015170957.3	Drosophila virilis	LOC6631706	3942	771	3070	25.114	PREDICTED: Drosophila virilis UNC93-like protein (LOC6631706), transcript variant X1, mRNA
XM_017300110.2	Drosophila miranda	LOC108164428	6240	771	3070	25.114	PREDICTED: Drosophila miranda plexin-A2 (LOC108164428), transcript variant X3, mRNA
XM_017300108.2	Drosophila miranda	LOC108164428	6469	771	3070	25.114	PREDICTED: Drosophila miranda plexin-A2 (LOC108164428), transcript variant X1, mRNA
XM_017300114.2	Drosophila miranda	LOC108164429	6615	771	3070	25.114	PREDICTED: Drosophila miranda uncharacterized LOC108164429 (LOC108164429), transcript variant X3, mRNA
XM_033394327.1	Drosophila miranda	LOC108164387	3393	771	3070	25.114	PREDICTED: Drosophila miranda putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog (LOC108164387), transcript variant X7, mRNA
XM_033394285.1	Drosophila miranda	LOC108164479	4375	771	3070	25.114	PREDICTED: Drosophila miranda nuclear factor 1 C-type (LOC108164479), transcript variant X2, mRNA
XM_032730478.2	Drosophila mojavensis	LOC6581111	5539	771	3070	25.114	PREDICTED: Drosophila mojavensis nuclear pore complex protein Nup214 (LOC6581111), mRNA
XM_034262726.2	Drosophila albomicans	LOC117577799	5243	771	3070	25.114	PREDICTED: Drosophila albomicans phospholipid-transporting ATPase ABCA3 (LOC117577799), mRNA
XM_026983459.1	Drosophila erecta	LOC6555823	4418	771	3070	25.114	PREDICTED: Drosophila erecta rho GTPase-activating protein 6 (LOC6555823), transcript variant X3, mRNA
XM_001982704.3	Drosophila erecta	LOC6555823	4515	771	3070	25.114	PREDICTED: Drosophila erecta rho GTPase-activating protein 6 (LOC6555823), transcript variant X2, mRNA
XM_026983458.1	Drosophila erecta	LOC6555823	4622	771	3070	25.114	PREDICTED: Drosophila erecta rho GTPase-activating protein 6 (LOC6555823), transcript variant X1, mRNA
XM_039370160.2	Drosophila yakuba	LOC6525200	5044	771	3070	25.114	PREDICTED: Drosophila yakuba neuronal acetylcholine receptor subunit alpha-7 (LOC6525200), transcript variant X2, mRNA
XM_002101009.4	Drosophila yakuba	LOC6525207	4583	771	3070	25.114	PREDICTED: Drosophila yakuba protein vav (LOC6525207), transcript variant X2, mRNA
XM_034284695.1	Drosophila guanche	LOC117591431	3231	771	3070	25.114	PREDICTED: Drosophila guanche ecotropic viral integration site 5 ortholog (LOC117591431), transcript variant X4, mRNA
XM_034284693.1	Drosophila guanche	LOC117591431	6072	771	3070	25.114	PREDICTED: Drosophila guanche ecotropic viral integration site 5 ortholog (LOC117591431), transcript variant X2, mRNA
XM_034284262.1	Drosophila guanche	LOC117591150	4280	771	3070	25.114	PREDICTED: Drosophila guanche period circadian protein (LOC117591150), transcript variant X2, mRNA
XM_018107218.2	Drosophila navojoa	LOC108655490	4156	771	3070	25.114	PREDICTED: Drosophila navojoa uncharacterized LOC108655490 (LOC108655490), mRNA
XM_030390193.1	Drosophila navojoa	LOC115565183	3478	771	3070	25.114	PREDICTED: Drosophila navojoa uncharacterized LOC115565183 (LOC115565183), transcript variant X2, mRNA
XM_030390041.1	Drosophila navojoa	LOC108653831	3771	771	3070	25.114	PREDICTED: Drosophila navojoa uncharacterized LOC108653831 (LOC108653831), transcript variant X2, mRNA
XM_018104668.2	Drosophila navojoa	LOC108653831	4595	771	3070	25.114	PREDICTED: Drosophila navojoa uncharacterized LOC108653831 (LOC108653831), transcript variant X1, mRNA
XM_032452470.2	Drosophila ananassae	LOC6501887	3064	769	3064	25.0979	PREDICTED: Drosophila ananassae moesin/ezrin/radixin homolog 1 (LOC6501887), transcript variant X10, mRNA
XM_047009270.1	Drosophila willistoni	LOC6649871	3001	753	3001	25.0916	PREDICTED: Drosophila willistoni band 4.1-like protein 4 (LOC6649871), transcript variant X4, mRNA
NM_001382118.1	Drosophila melanogaster	hbt	6433	770	3070	25.0814	Drosophila melanogaster headbutt (hbt), transcript variant E, mRNA
XM_016173650.3	Drosophila simulans	LOC6725502	4502	770	3070	25.0814	PREDICTED: Drosophila simulans AP-1 complex subunit gamma-1 (LOC6725502), transcript variant X1, mRNA
XM_039298042.2	Drosophila simulans	LOC6725932	4156	770	3070	25.0814	PREDICTED: Drosophila simulans inositol polyphosphate-4-phosphatase type I A (LOC6725932), transcript variant X2, mRNA
XM_016173236.3	Drosophila simulans	LOC6724756	6439	770	3070	25.0814	PREDICTED: Drosophila simulans histone-lysine N-methyltransferase EHMT2 (LOC6724756), transcript variant X2, mRNA
XM_039297990.2	Drosophila simulans	LOC6740125	6167	770	3070	25.0814	PREDICTED: Drosophila simulans putative vitellogenin receptor (LOC6740125), transcript variant X2, mRNA
XM_039297988.2	Drosophila simulans	LOC6740125	6231	770	3070	25.0814	PREDICTED: Drosophila simulans putative vitellogenin receptor (LOC6740125), transcript variant X1, mRNA
XM_044717562.1	Drosophila ananassae	LOC6498747	3361	770	3070	25.0814	PREDICTED: Drosophila ananassae histone-lysine N-methyltransferase 2D (LOC6498747), transcript variant X2, mRNA
XM_033385510.1	Drosophila pseudoobscura	raskol	5589	770	3070	25.0814	PREDICTED: Drosophila pseudoobscura Ras GTPase-activating protein raskol (raskol), transcript variant X2, mRNA
XM_033385494.1	Drosophila pseudoobscura	LOC6902245	3228	770	3070	25.0814	PREDICTED: Drosophila pseudoobscura palmitoyltransferase ZDHHC9-like (LOC6902245), transcript variant X5, mRNA
XM_002072335.4	Drosophila willistoni	LOC6649486	4609	770	3070	25.0814	PREDICTED: Drosophila willistoni mitogen-activated protein kinase kinase kinase 15 (LOC6649486), mRNA
XM_023179816.2	Drosophila willistoni	LOC6649788	4229	770	3070	25.0814	PREDICTED: Drosophila willistoni uncharacterized LOC6649788 (LOC6649788), transcript variant X1, mRNA
XM_032439119.2	Drosophila virilis	LOC116651871	3942	770	3070	25.0814	PREDICTED: Drosophila virilis serine-rich adhesin for platelets-like (LOC116651871), transcript variant X3, mRNA
XM_032440379.2	Drosophila virilis	spri	7477	770	3070	25.0814	PREDICTED: Drosophila virilis Src homology 2 domain-containing protein sprint (spri), transcript variant X2, mRNA
XM_043216255.1	Drosophila grimshawi	LOC6564712	4513	770	3070	25.0814	PREDICTED: Drosophila grimshawi uncharacterized protein DDB_G0283357 (LOC6564712), transcript variant X2, mRNA
XM_032741405.2	Drosophila grimshawi	LOC6569177	6935	770	3070	25.0814	PREDICTED: Drosophila grimshawi hornerin (LOC6569177), transcript variant X2, mRNA
XM_017300109.2	Drosophila miranda	LOC108164428	6466	770	3070	25.0814	PREDICTED: Drosophila miranda plexin-A2 (LOC108164428), transcript variant X2, mRNA
XM_017300176.2	Drosophila miranda	LOC108164456	3267	770	3070	25.0814	PREDICTED: Drosophila miranda calcium/calmodulin-dependent protein kinase type II alpha chain (LOC108164456), transcript variant X2, mRNA
XM_017300233.2	Drosophila miranda	LOC108164479	4320	770	3070	25.0814	PREDICTED: Drosophila miranda nuclear factor 1 C-type (LOC108164479), transcript variant X1, mRNA
XM_032730339.2	Drosophila mojavensis	LOC116804136	3872	770	3070	25.0814	PREDICTED: Drosophila mojavensis salivary glue protein Sgs-3-like (LOC116804136), mRNA
XM_026983550.1	Drosophila erecta	LOC6542086	3562	770	3070	25.0814	PREDICTED: Drosophila erecta UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (LOC6542086), transcript variant X5, mRNA
XM_001982718.3	Drosophila erecta	LOC6555877	4276	770	3070	25.0814	PREDICTED: Drosophila erecta protein pangolin, isoforms A/H/I/S (LOC6555877), transcript variant X7, mRNA
XM_039370153.2	Drosophila yakuba	LOC6525758	3482	770	3070	25.0814	PREDICTED: Drosophila yakuba frequenin-1 (LOC6525758), transcript variant X4, mRNA
XM_039370152.2	Drosophila yakuba	LOC6525758	4128	770	3070	25.0814	PREDICTED: Drosophila yakuba frequenin-1 (LOC6525758), transcript variant X3, mRNA
XM_015190266.3	Drosophila yakuba	LOC6524547	3953	770	3070	25.0814	PREDICTED: Drosophila yakuba calcitonin gene-related peptide type 1 receptor (LOC6524547), transcript variant X1, mRNA
XM_034284796.1	Drosophila guanche	LOC117591499	3380	770	3070	25.0814	PREDICTED: Drosophila guanche ER degradation-enhancing alpha-mannosidase-like protein 2 (LOC117591499), transcript variant X3, mRNA
XM_034284375.1	Drosophila guanche	LOC117591217	3087	770	3070	25.0814	PREDICTED: Drosophila guanche low-density lipoprotein receptor (LOC117591217), transcript variant X12, mRNA
XM_020961488.1	Drosophila serrata	LOC110190830	4631	770	3070	25.0814	PREDICTED: Drosophila serrata uncharacterized LOC110190830 (LOC110190830), transcript variant X1, mRNA
XM_020960897.1	Drosophila serrata	LOC110190420	4264	770	3070	25.0814	PREDICTED: Drosophila serrata band 7 protein AGAP004871 (LOC110190420), transcript variant X6, mRNA
XM_030390215.1	Drosophila navojoa	LOC115565190	4680	770	3070	25.0814	PREDICTED: Drosophila navojoa tyrosine-protein phosphatase 10D (LOC115565190), partial mRNA
XM_030390027.1	Drosophila navojoa	LOC108655381	3610	770	3070	25.0814	PREDICTED: Drosophila navojoa inactive rhomboid protein 1-like (LOC108655381), mRNA
XM_026993910.1	Drosophila persimilis	LOC6601021	3474	770	3070	25.0814	PREDICTED: Drosophila persimilis probable E3 ubiquitin-protein ligase HERC4 (LOC6601021), transcript variant X1, mRNA
NM_001382180.1	Drosophila melanogaster	wdb	3306	769	3070	25.0489	Drosophila melanogaster widerborst (wdb), transcript variant H, mRNA
XM_002037023.2	Drosophila sechellia	LOC6612551	3217	769	3070	25.0489	PREDICTED: Drosophila sechellia uncharacterized LOC6612551 (LOC6612551), mRNA
XM_032726737.1	Drosophila sechellia	LOC6615959	7033	769	3070	25.0489	PREDICTED: Drosophila sechellia uncharacterized LOC6615959 (LOC6615959), mRNA
XM_032726693.1	Drosophila sechellia	LOC6615873	5391	769	3070	25.0489	PREDICTED: Drosophila sechellia amyloid-beta-like protein (LOC6615873), transcript variant X13, mRNA
XM_032726682.1	Drosophila sechellia	LOC6615873	5428	769	3070	25.0489	PREDICTED: Drosophila sechellia amyloid-beta-like protein (LOC6615873), transcript variant X2, mRNA
XM_015188646.2	Drosophila pseudoobscura	TrpA1	4741	769	3070	25.0489	PREDICTED: Drosophila pseudoobscura Transient receptor potential cation channel A1 (TrpA1), transcript variant X8, mRNA
XM_001355630.3	Drosophila pseudoobscura	c12.2	4487	769	3070	25.0489	PREDICTED: Drosophila pseudoobscura von Willebrand factor A domain-containing protein c12.2 (c12.2), mRNA
XM_033385476.1	Drosophila pseudoobscura	rut	5408	769	3070	25.0489	PREDICTED: Drosophila pseudoobscura adenylate cyclase rutabaga (rut), transcript variant X11, mRNA
XM_047009360.1	Drosophila willistoni	LOC6650060	3618	769	3070	25.0489	PREDICTED: Drosophila willistoni uncharacterized LOC6650060 (LOC6650060), transcript variant X1, mRNA
XM_023179829.2	Drosophila willistoni	LOC6649523	4059	769	3070	25.0489	PREDICTED: Drosophila willistoni putative thiamine transporter SLC35F3 (LOC6649523), transcript variant X8, mRNA
XM_002072078.3	Drosophila willistoni	LOC6649792	4542	769	3070	25.0489	PREDICTED: Drosophila willistoni bromodomain-containing protein 8 (LOC6649792), mRNA
XM_023179618.2	Drosophila willistoni	LOC6649805	3778	769	3070	25.0489	PREDICTED: Drosophila willistoni protein kinase C (LOC6649805), transcript variant X1, mRNA
XM_032439538.2	Drosophila virilis	1	5748	769	3070	25.0489	PREDICTED: Drosophila virilis inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (l(1)G0196), transcript variant X10, mRNA
XM_015170148.3	Drosophila virilis	raskol	6706	769	3070	25.0489	PREDICTED: Drosophila virilis Ras GTPase-activating protein raskol (raskol), transcript variant X12, mRNA
XM_032440768.2	Drosophila virilis	raskol	6721	769	3070	25.0489	PREDICTED: Drosophila virilis Ras GTPase-activating protein raskol (raskol), transcript variant X7, mRNA
XM_032433488.2	Drosophila virilis	Nna1	7369	769	3070	25.0489	PREDICTED: Drosophila virilis Nna1 carboxypeptidase (Nna1), transcript variant X5, mRNA
XM_070211386.1	Drosophila virilis	Mnt	5529	769	3070	25.0489	PREDICTED: Drosophila virilis Mnt (Mnt), transcript variant X3, mRNA
XM_032738339.2	Drosophila grimshawi	LOC6565046	3805	769	3070	25.0489	PREDICTED: Drosophila grimshawi cytosolic carboxypeptidase Nna1 (LOC6565046), transcript variant X1, mRNA
XM_043216212.1	Drosophila grimshawi	LOC6569374	7014	769	3070	25.0489	PREDICTED: Drosophila grimshawi pneumococcal serine-rich repeat protein (LOC6569374), transcript variant X2, mRNA
XM_032738270.2	Drosophila grimshawi	LOC6564969	5371	769	3070	25.0489	PREDICTED: Drosophila grimshawi furin-like protease 2 (LOC6564969), transcript variant X4, mRNA
XM_017300179.2	Drosophila miranda	LOC108164456	3146	769	3070	25.0489	PREDICTED: Drosophila miranda calcium/calmodulin-dependent protein kinase type II alpha chain (LOC108164456), transcript variant X6, mRNA
XM_017300067.2	Drosophila miranda	LOC108164406	6988	769	3070	25.0489	PREDICTED: Drosophila miranda protein pangolin, isoforms A/H/I/S (LOC108164406), transcript variant X8, mRNA
XM_002006804.4	Drosophila mojavensis	LOC6581082	5246	769	3070	25.0489	PREDICTED: Drosophila mojavensis ecdysone receptor (LOC6581082), transcript variant X5, mRNA
XM_002006334.4	Drosophila mojavensis	LOC6580539	4052	769	3070	25.0489	PREDICTED: Drosophila mojavensis 5-oxoprolinase (LOC6580539), mRNA
XM_034242066.2	Drosophila albomicans	LOC117563644	6390	769	3070	25.0489	PREDICTED: Drosophila albomicans phospholipid-transporting ATPase ABCA3 (LOC117563644), transcript variant X1, mRNA
XM_026983633.1	Drosophila erecta	LOC6548878	5453	769	3070	25.0489	PREDICTED: Drosophila erecta protein madd-4 (LOC6548878), transcript variant X5, mRNA
XM_026983623.1	Drosophila erecta	LOC6548880	4214	769	3070	25.0489	PREDICTED: Drosophila erecta uncharacterized LOC6548880 (LOC6548880), transcript variant X4, mRNA
XM_026983457.1	Drosophila erecta	LOC6555836	5606	769	3070	25.0489	PREDICTED: Drosophila erecta eukaryotic translation initiation factor 4 gamma 1 (LOC6555836), transcript variant X2, mRNA
XM_026983348.1	Drosophila erecta	LOC6555815	5333	769	3070	25.0489	PREDICTED: Drosophila erecta host cell factor (LOC6555815), transcript variant X1, mRNA
